item,group_id,link,title,image,category,price,msrp,available,description,zoom_image,c_sustainable
SM001,GRP_RELAIS_1,https://mysmartshop.de/products/shelly-pro-4pm,Shelly Pro 4PM Smart Relay,https://images.unsplash.com/photo-1581092921461-eab62e97a780,Smart Home > Relais,93.90,109.90,true,Professionelles WLAN-Relais zur Steuerung von Geräten und Energieverbrauch,https://images.unsplash.com/photo-1581092921461-eab62e97a780,true
SM002,GRP_LIGHT_1,https://mysmartshop.de/products/shelly-duo-gu10,Shelly DUO GU10 Smart Bulb,https://images.unsplash.com/photo-1519710164239-da123dc03ef4,Smart Home > Beleuchtung,12.95,14.90,true,Intelligente LED-Lampe mit RGBW und App-Steuerung,https://images.unsplash.com/photo-1519710164239-da123dc03ef4,true
SM003,GRP_SENSOR_1,https://mysmartshop.de/products/adeunis-temp-sensor,Adeunis LoRaWAN Temperatursensor,https://images.unsplash.com/photo-1581093458791-9d42fefc7b3b,IoT > Sensoren,134.89,149.90,true,Temperatursensor für industrielle IoT Anwendungen,https://images.unsplash.com/photo-1581093458791-9d42fefc7b3b,true
SM004,GRP_METER_1,https://mysmartshop.de/products/iometer,IOmeter Smart Meter Reader,https://images.unsplash.com/photo-1558002038-1055907df827,Smart Metering > Stromzähler,109.50,129.90,true,Smart Meter zur Analyse und Visualisierung des Stromverbrauchs,https://images.unsplash.com/photo-1558002038-1055907df827,true
SM005,GRP_GAS_1,https://mysmartshop.de/products/gasguard,iQ gasGuard WLAN Gasmonitor,https://images.unsplash.com/photo-1581093588401-22f9a1c46c4c,Smart Metering > Gas,94.95,109.90,true,Gasmessgerät zur Überwachung des Gasverbrauchs per App,https://images.unsplash.com/photo-1581093588401-22f9a1c46c4c,false
SM006,GRP_GAS_1,https://mysmartshop.de/products/elster-inz65,Elster Impulsnehmer IN-Z65,https://images.unsplash.com/photo-1581091215367-59ab6b9e38a3,Messtechnik > Gaszähler,55.70,69.90,true,Impulsgeber für Gaszähler zur Datenerfassung,https://images.unsplash.com/photo-1581091215367-59ab6b9e38a3,false
SM007,GRP_SENSOR_2,https://mysmartshop.de/products/itron-cyble,Itron Cyble Sensor V2,https://images.unsplash.com/photo-1581092580497-e0d23cbdf1dc,Messtechnik > Sensoren,90.90,109.90,true,Sensor zur digitalen Auslesung von Verbrauchsdaten,https://images.unsplash.com/photo-1581092580497-e0d23cbdf1dc,true
SM008,GRP_SOLAR_1,https://mysmartshop.de/products/apsystems-ez1m,APsystems Balkonkraftwerk Wechselrichter,https://images.unsplash.com/photo-1509395176047-4a66953fd231,Energie > Balkonkraftwerk,142.50,169.90,true,Wechselrichter für kleine PV-Anlagen und Balkonkraftwerke,https://images.unsplash.com/photo-1509395176047-4a66953fd231,true
SM009,GRP_SENSOR_3,https://mysmartshop.de/products/4duino-temp,4duino Temperatursensor DS18B20,https://images.unsplash.com/photo-1581091870622-1e7e4c3b2b4d,IoT > Sensoren,3.25,4.90,true,Günstiger wasserdichter Temperatursensor für IoT-Projekte,https://images.unsplash.com/photo-1581091870622-1e7e4c3b2b4d,true
SM010,GRP_AIR_1,https://mysmartshop.de/products/aeg-ax9,AEG Luftreiniger AX9,https://images.unsplash.com/photo-1581578731548-c64695cc6952,Smart Home > Luftqualität,333.19,379.00,true,Luftreiniger mit HEPA-Filter für bessere Raumluft,https://images.unsplash.com/photo-1581578731548-c64695cc6952,true